"Supervisor.PI","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hrcek","1","AK",0.27182539675,0.140414338924468,0.2463768115,0.111111111,0.555555556,0.0496439656146587,0.516560779836212,0.333333333
"Hrcek","1","GI",0.14592274675,0.155140963531334,0.077253219,0.051502146,0.377682403,0.077570481765667,1.06317189736791,0.377682403
"Hrcek","1","KA",0.173027989833333,0.107377929011837,0.1297709925,0.061068702,0.335877863,0.0438368559526325,0.620581266159695,0.335877863
"Hrcek","1","MA",0.425983174,0.276545154476848,0.378181818,0.015625,0.9375,0.0670720518918116,0.649192670874948,0.9375
"Hrcek","1","MU",0.224355473125,0.286118748414458,0.1304347825,0,0.886956522,0.101158253614235,1.27529203736004,0.180904523
"Hrcek","1","RE",0.187540709705882,0.196967695156153,0.14479638,0.020618557,0.913043478,0.0477716830566634,1.05026634198545,0.130434783
"Hrcek","1","UM",0.373707930294118,0.367716850709413,0.214765101,0,1.077720207,0.0891844362231995,0.983968551108912,0.041450777
"Hrcek","1","VA",0.3058740648,0.207294214783089,0.308108108,0,0.6,0.0535231361080032,0.677710988405085,0.019417476
"Hrcek","1","YE",0.14364223575,0.158178821337415,0.0753242695,0,0.455696203,0.0456622925396272,1.10119993963833,0
"Hrcek","3","AK",0.16266538125,0.0921124630534999,0.1473968895,0.049382716,0.329411765,0.023028115763375,0.566269616470714,0.275862069
"Hrcek","3","GI",0.0684210526,0.0235375576255284,0.052631579,0.052631579,0.105263158,0.010526315775,0.34401045776265,0.052631579
"Hrcek","3","KA",0.0965637235454545,0.0558419813287449,0.072727273,0.021052632,0.168421053,0.0168369908743162,0.578291508223157,0.063157895
"Hrcek","3","MA",0.271189552821429,0.223510995911154,0.1928811065,0.077294686,0.812260536,0.0422396078906635,0.824187339024563,0.08
"Hrcek","3","MU",0.2557149925,0.145908802741787,0.204255319,0.05106383,0.544680851,0.0515865519267638,0.570591506251972,0.204255319
"Hrcek","3","RE",0.234635796862069,0.247852386095054,0.146341463,0,0.85106383,0.0460250326539103,1.05632810257317,0
"Hrcek","3","UM",0.4415958148125,0.264690230599491,0.488760965,0,0.929824561,0.0661725576498727,0.599394789807683,0.649122807
"Hrcek","3","VA",0.3023052246875,0.246475176165045,0.188481675,0.03960396,0.792079208,0.0616187940412614,0.815318942700486,0.089285714
"Hrcek","3","YE",0.476542636529412,0.637970059613789,0.157303371,0,1.916666667,0.154730467162897,1.33874707258102,0.054054054
"Hrcek","4","AK",0.2102053835,0.138610311441344,0.1579283075,0.085470085,0.517412935,0.0438324291339943,0.659404193810021,0.102564103
"Hrcek","4","GI",0.169303606705882,0.157577326541779,0.125,0,0.4784689,0.0382181153843646,0.930738155008861,0
"Hrcek","4","KA",0.191679881777778,0.080712304585904,0.188481675,0.104712042,0.347031963,0.0269041015286347,0.421078643399191,0.146596859
"Hrcek","4","MU",0.1333333335,0.0938905054306747,0.1181818185,0.036363636,0.272727273,0.038330638332861,0.704178789849836,0.2
"Hrcek","4","RE",0.183206107,0.143015221738911,0.229007634,0.022900763,0.297709924,0.0825698767691741,0.780624751438611,0.297709924
"Hrcek","4","UM",0.202614379,0.190179980816576,0.1699346405,0.026143791,0.444444444,0.0950899904082881,0.938630228294785,0.026143791
"Hrcek","4","VA",0.182200530888889,0.150510680192719,0.129032258,0.020618557,0.532110092,0.0354757075350905,0.826071578707445,0.129032258
"Hrcek","4","YE",0.278787878666667,0.237247763721967,0.2363636365,0.036363636,0.709090909,0.0968559939558676,0.850997413720534,0.109090909
